#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|P62399|RL5_ECOLI}	57000	0	1	1	{57000}	{sp|P62399|RL5_ECOLI 50S ribosomal protein L5 OS=Escherichia coli (strain K12) OX=83333 GN=rplE PE=1 SV=2}
+	{sp|P0AF08|APBC_ECOLI}	47000	0	1	1	{47000}	{sp|P0AF08|APBC_ECOLI Iron-sulfur cluster carrier protein OS=Escherichia coli (strain K12) OX=83333 GN=mrp PE=3 SV=1}
+	{sp|P0A9B2|G3P1_ECOLI}	56000	0	4	4	{56000,56000,56000,56000}	{sp|P0A9B2|G3P1_ECOLI Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) OX=83333 GN=gapA PE=1 SV=2}
+	{sp|P0ABK5|CYSK_ECOLI}	56000	0	7	7	{56000,56000,56000,56000,56000,56000,56000}	{sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) OX=83333 GN=cysK PE=1 SV=2}
+	{sp|P0AFP6|GCH1L_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P0AFP6|GCH1L_ECOLI GTP cyclohydrolase 1 type 2 homolog OS=Escherichia coli (strain K12) OX=83333 GN=ybgI PE=1 SV=1}
+	{sp|P32680|YJAG_ECOLI}	50000	0	1	1	{50000}	{sp|P32680|YJAG_ECOLI Uncharacterized protein YjaG OS=Escherichia coli (strain K12) OX=83333 GN=yjaG PE=4 SV=1}
+	{sp|P0A6D3|AROA_ECOLI}	64000	0	1	1	{64000}	{sp|P0A6D3|AROA_ECOLI 3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=aroA PE=1 SV=1}
+	{sp|P0A879|TRPB_ECOLI}	48000	0	13	13	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A879|TRPB_ECOLI Tryptophan synthase beta chain OS=Escherichia coli (strain K12) OX=83333 GN=trpB PE=1 SV=2}
+	{sp|P0ABC3|HFLC_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P0ABC3|HFLC_ECOLI Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) OX=83333 GN=hflC PE=1 SV=1}
+	{sp|P04693|TYRB_ECOLI}	63000	0	1	1	{63000}	{sp|P04693|TYRB_ECOLI Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=tyrB PE=1 SV=1}
+	{sp|P0AB80|ILVE_ECOLI}	49000	0	1	1	{49000}	{sp|P0AB80|ILVE_ECOLI Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ilvE PE=1 SV=2}
+	{sp|P33368|YOHF_ECOLI}	46000	0	1	1	{46000}	{sp|P33368|YOHF_ECOLI Uncharacterized oxidoreductase YohF OS=Escherichia coli (strain K12) OX=83333 GN=yohF PE=1 SV=2}
+	{sp|P61316|LOLA_ECOLI}	55000	0	1	1	{55000}	{sp|P61316|LOLA_ECOLI Outer-membrane lipoprotein carrier protein OS=Escherichia coli (strain K12) OX=83333 GN=lolA PE=1 SV=1}
+	{sp|P62707|GPMA_ECOLI}	45000	0	6	6	{45000,45000,45000,45000,45000,45000}	{sp|P62707|GPMA_ECOLI 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) OX=83333 GN=gpmA PE=1 SV=2}
+	{sp|P0A9C3|GALM_ECOLI}	41000	0	1	1	{41000}	{sp|P0A9C3|GALM_ECOLI Aldose 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=galM PE=1 SV=1}
+	{sp|P00895|TRPE_ECOLI}	62000	0	1	1	{62000}	{sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2}
+	{sp|P35340|AHPF_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=ahpF PE=1 SV=2}
+	{sp|P0AFP6|GCH1L_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0AFP6|GCH1L_ECOLI GTP cyclohydrolase 1 type 2 homolog OS=Escherichia coli (strain K12) OX=83333 GN=ybgI PE=1 SV=1}
+	{sp|P0ACF8|HNS_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P0ACF8|HNS_ECOLI DNA-binding protein H-NS OS=Escherichia coli (strain K12) OX=83333 GN=hns PE=1 SV=2}
+	{sp|P05791|ILVD_ECOLI}	45000	0	1	1	{45000}	{sp|P05791|ILVD_ECOLI Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=ilvD PE=1 SV=5}
+	{sp|P0ACG1|STPA_ECOLI}	56000	0	6	6	{56000,56000,56000,56000,56000,56000}	{sp|P0ACG1|STPA_ECOLI DNA-binding protein StpA OS=Escherichia coli (strain K12) OX=83333 GN=stpA PE=1 SV=1}
+	{sp|P21156|CYSD_ECOLI}	56000	0	1	1	{56000}	{sp|P21156|CYSD_ECOLI Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain K12) OX=83333 GN=cysD PE=1 SV=3}
+	{sp|P0A6W9|GSH1_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P0A6W9|GSH1_ECOLI Glutamate--cysteine ligase OS=Escherichia coli (strain K12) OX=83333 GN=gshA PE=1 SV=1}
+	{sp|P0AB71|ALF_ECOLI}	54000	0	6	6	{54000,54000,54000,54000,54000,54000}	{sp|P0AB71|ALF_ECOLI Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) OX=83333 GN=fbaA PE=1 SV=2}
+	{sp|P0A7T3|RS16_ECOLI}	46000	0	4	4	{46000,46000,46000,46000}	{sp|P0A7T3|RS16_ECOLI 30S ribosomal protein S16 OS=Escherichia coli (strain K12) OX=83333 GN=rpsP PE=1 SV=1}
+	{sp|P62399|RL5_ECOLI}	50000	0	10	10	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P62399|RL5_ECOLI 50S ribosomal protein L5 OS=Escherichia coli (strain K12) OX=83333 GN=rplE PE=1 SV=2}
+	{sp|P0A7W7|RS8_ECOLI}	50000	0	1	1	{50000}	{sp|P0A7W7|RS8_ECOLI 30S ribosomal protein S8 OS=Escherichia coli (strain K12) OX=83333 GN=rpsH PE=1 SV=2}
+	{sp|P06610|BTUE_ECOLI}	54000	0	4	4	{54000,54000,54000,54000}	{sp|P06610|BTUE_ECOLI Thioredoxin/glutathione peroxidase BtuE OS=Escherichia coli (strain K12) OX=83333 GN=btuE PE=1 SV=1}
+	{sp|P23886|CYDC_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P23886|CYDC_ECOLI ATP-binding/permease protein CydC OS=Escherichia coli (strain K12) OX=83333 GN=cydC PE=3 SV=2}
+	{sp|P0A6Y8|DNAK_ECOLI}	47000	0	28	28	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0A6Y8|DNAK_ECOLI Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2}
+	{sp|P76658|HLDE_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P76658|HLDE_ECOLI Bifunctional protein HldE OS=Escherichia coli (strain K12) OX=83333 GN=hldE PE=1 SV=1}
+	{sp|P0A6Y1|IHFB_ECOLI}	49000	0	5	5	{49000,49000,49000,49000,49000}	{sp|P0A6Y1|IHFB_ECOLI Integration host factor subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=ihfB PE=1 SV=1}
+	{sp|P0ABJ1|CYOA_ECOLI}	55000	0	1	1	{55000}	{sp|P0ABJ1|CYOA_ECOLI Cytochrome bo(3) ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) OX=83333 GN=cyoA PE=1 SV=1}
+	{sp|P0A6Y1|IHFB_ECOLI}	57000	0	1	1	{57000}	{sp|P0A6Y1|IHFB_ECOLI Integration host factor subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=ihfB PE=1 SV=1}
+	{Rev_sp|P23909|MUTS_ECOLI}	55000	0	1	1	{55000}	{N/A}
+	{sp|P26646|ACUI_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P26646|ACUI_ECOLI Probable acrylyl-CoA reductase AcuI OS=Escherichia coli (strain K12) OX=83333 GN=acuI PE=1 SV=1}
+	{sp|P06999|PFKB_ECOLI}	44000	0	2	2	{44000,44000}	{sp|P06999|PFKB_ECOLI ATP-dependent 6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) OX=83333 GN=pfkB PE=1 SV=2}
+	{sp|P33643|RLUD_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P33643|RLUD_ECOLI Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) OX=83333 GN=rluD PE=1 SV=4}
+	{sp|P25522|MNME_ECOLI}	43000	0	1	1	{43000}	{sp|P25522|MNME_ECOLI tRNA modification GTPase MnmE OS=Escherichia coli (strain K12) OX=83333 GN=mnmE PE=1 SV=3}
+	{sp|P60664|HIS6_ECOLI}	55000	0	1	1	{55000}	{sp|P60664|HIS6_ECOLI Imidazole glycerol phosphate synthase subunit HisF OS=Escherichia coli (strain K12) OX=83333 GN=hisF PE=1 SV=1}
+	{sp|P0ABS1|DKSA_ECOLI}	42000	0	1	1	{42000}	{sp|P0ABS1|DKSA_ECOLI RNA polymerase-binding transcription factor DksA OS=Escherichia coli (strain K12) OX=83333 GN=dksA PE=1 SV=1}
+	{sp|P33018|SFGH2_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P33018|SFGH2_ECOLI S-formylglutathione hydrolase YeiG OS=Escherichia coli (strain K12) OX=83333 GN=yeiG PE=1 SV=1}
+	{sp|P0ACJ8|CRP_ECOLI}	33000	0	1	1	{33000}	{sp|P0ACJ8|CRP_ECOLI cAMP-activated global transcriptional regulator CRP OS=Escherichia coli (strain K12) OX=83333 GN=crp PE=1 SV=1}
+	{sp|P75780|FIU_ECOLI}	53000	0	6	6	{53000,53000,53000,53000,53000,53000}	{sp|P75780|FIU_ECOLI Catecholate siderophore receptor Fiu OS=Escherichia coli (strain K12) OX=83333 GN=fiu PE=1 SV=1}
+	{sp|P62620|ISPG_ECOLI}	57000	0	1	1	{57000}	{sp|P62620|ISPG_ECOLI 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Escherichia coli (strain K12) OX=83333 GN=ispG PE=1 SV=1}
+	{sp|P60595|HIS5_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P60595|HIS5_ECOLI Imidazole glycerol phosphate synthase subunit HisH OS=Escherichia coli (strain K12) OX=83333 GN=hisH PE=1 SV=1}
+	{sp|P07118|SYV_ECOLI}	42000	0	1	1	{42000}	{sp|P07118|SYV_ECOLI Valine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=valS PE=1 SV=2}
+	{sp|P0A7K6|RL19_ECOLI}	51000	0	3	3	{51000,51000,51000}	{sp|P0A7K6|RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2}
+	{sp|P33927|CCMF_ECOLI}	45000	0	1	1	{45000}	{sp|P33927|CCMF_ECOLI Cytochrome c-type biogenesis protein CcmF OS=Escherichia coli (strain K12) OX=83333 GN=ccmF PE=1 SV=1}
+	{sp|P0AFG0|NUSG_ECOLI}	55000	0	1	1	{55000}	{sp|P0AFG0|NUSG_ECOLI Transcription termination/antitermination protein NusG OS=Escherichia coli (strain K12) OX=83333 GN=nusG PE=1 SV=2}
+	{sp|P07014|SDHB_ECOLI}	47000	0	5	5	{47000,47000,47000,47000,47000}	{sp|P07014|SDHB_ECOLI Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhB PE=1 SV=1}
+	{sp|P33570|TKT2_ECOLI}	55000	0	8	9	{55000,55000,55000,55000,55000,55000,55000,55000,55000}	{sp|P33570|TKT2_ECOLI Transketolase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tktB PE=1 SV=1}
+	{sp|P04425|GSHB_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P04425|GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) OX=83333 GN=gshB PE=1 SV=1}
+	{sp|P63224|GMHA_ECOLI}	45000	0	1	1	{45000}	{sp|P63224|GMHA_ECOLI Phosphoheptose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=gmhA PE=1 SV=1}
+	{sp|P0A8T7|RPOC_ECOLI}	48000	0	18	18	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A8T7|RPOC_ECOLI DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) OX=83333 GN=rpoC PE=1 SV=1}
+	{sp|P65367|YQCA_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P65367|YQCA_ECOLI Flavodoxin YqcA OS=Escherichia coli (strain K12) OX=83333 GN=yqcA PE=1 SV=1}
+	{sp|P00968|CARB_ECOLI}	42000	0	2	2	{42000,42000}	{sp|P00968|CARB_ECOLI Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) OX=83333 GN=carB PE=1 SV=2}
+	{sp|P0ADE8|YGFZ_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P0ADE8|YGFZ_ECOLI tRNA-modifying protein YgfZ OS=Escherichia coli (strain K12) OX=83333 GN=ygfZ PE=1 SV=2}
+	{sp|P37903|USPF_ECOLI}	60000	0	1	1	{60000}	{sp|P37903|USPF_ECOLI Universal stress protein F OS=Escherichia coli (strain K12) OX=83333 GN=uspF PE=1 SV=2}
+	{sp|P0ADY3|RL14_ECOLI}	48000	0	1	1	{48000}	{sp|P0ADY3|RL14_ECOLI 50S ribosomal protein L14 OS=Escherichia coli (strain K12) OX=83333 GN=rplN PE=1 SV=1}
+	{sp|P0A7J3|RL10_ECOLI}	50000	0	11	11	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P0A7J3|RL10_ECOLI 50S ribosomal protein L10 OS=Escherichia coli (strain K12) OX=83333 GN=rplJ PE=1 SV=2}
+	{sp|P0A763|NDK_ECOLI}	60000	0	1	1	{60000}	{sp|P0A763|NDK_ECOLI Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ndk PE=1 SV=2}
+	{sp|P31806|NNR_ECOLI}	52000	0	2	2	{52000,52000}	{sp|P31806|NNR_ECOLI Bifunctional NAD(P)H-hydrate repair enzyme Nnr OS=Escherichia coli (strain K12) OX=83333 GN=nnr PE=1 SV=2}
+	{sp|P0A7A2|GPMB_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0A7A2|GPMB_ECOLI Probable phosphoglycerate mutase GpmB OS=Escherichia coli (strain K12) OX=83333 GN=gpmB PE=3 SV=1}
+	{sp|P26616|MAO1_ECOLI}	48000	0	3	3	{48000,48000,48000}	{sp|P26616|MAO1_ECOLI NAD-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeA PE=1 SV=4}
+	{sp|P0ABY4|FLAW_ECOLI}	45000	0	1	1	{45000}	{sp|P0ABY4|FLAW_ECOLI Flavodoxin 2 OS=Escherichia coli (strain K12) OX=83333 GN=fldB PE=1 SV=1}
+	{sp|P0AFM6|PSPA_ECOLI}	50000	0	1	1	{50000}	{sp|P0AFM6|PSPA_ECOLI Phage shock protein A OS=Escherichia coli (strain K12) OX=83333 GN=pspA PE=1 SV=2}
+	{sp|P00561|AK1H_ECOLI}	55000	0	11	11	{55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000}	{sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) OX=83333 GN=thrA PE=1 SV=2}
+	{sp|P21363|YCIE_ECOLI}	46000	0	1	1	{46000}	{sp|P21363|YCIE_ECOLI Protein YciE OS=Escherichia coli (strain K12) OX=83333 GN=yciE PE=1 SV=1}
+	{sp|P0A8Y8|ENTH_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P0A8Y8|ENTH_ECOLI Proofreading thioesterase EntH OS=Escherichia coli (strain K12) OX=83333 GN=entH PE=1 SV=1}
+	{sp|P37349|DHAM_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P37349|DHAM_ECOLI PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM OS=Escherichia coli (strain K12) OX=83333 GN=dhaM PE=1 SV=3}
+	{sp|P37051|PURU_ECOLI}	48000	0	1	1	{48000}	{sp|P37051|PURU_ECOLI Formyltetrahydrofolate deformylase OS=Escherichia coli (strain K12) OX=83333 GN=purU PE=1 SV=1}
+	{sp|P0ADI7|YECD_ECOLI}	48000	0	4	4	{48000,48000,48000,48000}	{sp|P0ADI7|YECD_ECOLI Isochorismatase family protein YecD OS=Escherichia coli (strain K12) OX=83333 GN=yecD PE=1 SV=2}
+	{sp|P0A6E4|ASSY_ECOLI}	38000	0	1	1	{38000}	{sp|P0A6E4|ASSY_ECOLI Argininosuccinate synthase OS=Escherichia coli (strain K12) OX=83333 GN=argG PE=1 SV=2}
+	{sp|P28905|HOLC_ECOLI}	46000	0	1	1	{46000}	{sp|P28905|HOLC_ECOLI DNA polymerase III subunit chi OS=Escherichia coli (strain K12) OX=83333 GN=holC PE=1 SV=1}
+	{sp|P0A903|BAMC_ECOLI}	43000	0	1	1	{43000}	{sp|P0A903|BAMC_ECOLI Outer membrane protein assembly factor BamC OS=Escherichia coli (strain K12) OX=83333 GN=bamC PE=1 SV=1}
+	{sp|P0A6Z3|HTPG_ECOLI}	60000	0	5	5	{60000,60000,60000,60000,60000}	{sp|P0A6Z3|HTPG_ECOLI Chaperone protein HtpG OS=Escherichia coli (strain K12) OX=83333 GN=htpG PE=1 SV=1}
+	{sp|P05055|PNP_ECOLI}	46000	0	4	4	{46000,46000,46000,46000}	{sp|P05055|PNP_ECOLI Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pnp PE=1 SV=3}
+	{sp|P75915|YCDY_ECOLI}	57000	0	1	1	{57000}	{sp|P75915|YCDY_ECOLI Chaperone protein YcdY OS=Escherichia coli (strain K12) OX=83333 GN=ycdY PE=1 SV=1}
+	{sp|P08506|DACC_ECOLI}	43000	0	1	1	{43000}	{sp|P08506|DACC_ECOLI D-alanyl-D-alanine carboxypeptidase DacC OS=Escherichia coli (strain K12) OX=83333 GN=dacC PE=1 SV=2}
+	{sp|P10346|GLNQ_ECOLI}	46000	0	1	1	{46000}	{sp|P10346|GLNQ_ECOLI Glutamine transport ATP-binding protein GlnQ OS=Escherichia coli (strain K12) OX=83333 GN=glnQ PE=1 SV=1}
+	{sp|P04425|GSHB_ECOLI}	58000	0	1	1	{58000}	{sp|P04425|GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) OX=83333 GN=gshB PE=1 SV=1}
+	{sp|P62672|APAG_ECOLI}	45000	0	1	1	{45000}	{sp|P62672|APAG_ECOLI Protein ApaG OS=Escherichia coli (strain K12) OX=83333 GN=apaG PE=3 SV=1}
+	{sp|P68191|SRA_ECOLI}	44000	0	1	1	{44000}	{sp|P68191|SRA_ECOLI Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) OX=83333 GN=sra PE=1 SV=1}
+	{sp|P0AAV4|PXPB_ECOLI}	44000	0	1	1	{44000}	{sp|P0AAV4|PXPB_ECOLI 5-oxoprolinase subunit B OS=Escherichia coli (strain K12) OX=83333 GN=pxpB PE=1 SV=1}
+	{sp|P06959|ODP2_ECOLI}	50000	0	11	11	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P06959|ODP2_ECOLI Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3}
+	{sp|P0AC62|GLRX3_ECOLI}	49000	0	1	1	{49000}	{sp|P0AC62|GLRX3_ECOLI Glutaredoxin 3 OS=Escherichia coli (strain K12) OX=83333 GN=grxC PE=1 SV=2}
+	{sp|P0C8J8|GATZ_ECOLI}	48000	0	2	3	{48000,48000,48000}	{sp|P0C8J8|GATZ_ECOLI D-tagatose-1,6-bisphosphate aldolase subunit GatZ OS=Escherichia coli (strain K12) OX=83333 GN=gatZ PE=1 SV=1}
+	{sp|P00895|TRPE_ECOLI}	47000	0	17	17	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2}
+	{sp|P0A9D8|DAPD_ECOLI}	42000	0	1	1	{42000}	{sp|P0A9D8|DAPD_ECOLI 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=dapD PE=1 SV=1}
+	{sp|P0AB91|AROG_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P0AB91|AROG_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroG PE=1 SV=1}
+	{sp|P0A7R1|RL9_ECOLI}	43000	0	3	3	{43000,43000,43000}	{sp|P0A7R1|RL9_ECOLI 50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1}
+	{sp|P37095|PEPB_ECOLI}	53000	0	7	7	{53000,53000,53000,53000,53000,53000,53000}	{sp|P37095|PEPB_ECOLI Peptidase B OS=Escherichia coli (strain K12) OX=83333 GN=pepB PE=1 SV=2}
+	{sp|P60906|SYH_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P60906|SYH_ECOLI Histidine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=hisS PE=1 SV=2}
+	{sp|P0A9G6|ACEA_ECOLI}	40000	0	1	1	{40000}	{sp|P0A9G6|ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) OX=83333 GN=aceA PE=1 SV=1}
+	{sp|P0A9F3|CYSB_ECOLI}	59000	0	1	1	{59000}	{sp|P0A9F3|CYSB_ECOLI HTH-type transcriptional regulator CysB OS=Escherichia coli (strain K12) OX=83333 GN=cysB PE=3 SV=1}
+	{sp|P09029|PURK_ECOLI}	52000	0	1	1	{52000}	{sp|P09029|PURK_ECOLI N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) OX=83333 GN=purK PE=1 SV=2}
+	{sp|P0A6P5|DER_ECOLI}	44000	0	1	1	{44000}	{sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) OX=83333 GN=der PE=1 SV=1}
+	{sp|P04391|OTC1_ECOLI,sp|P06960|OTC2_ECOLI}	47000	0	1	1	{47000}	{sp|P04391|OTC1_ECOLI Ornithine carbamoyltransferase subunit I OS=Escherichia coli (strain K12) OX=83333 GN=argI PE=1 SV=3,sp|P06960|OTC2_ECOLI Ornithine carbamoyltransferase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=argF PE=1 SV=4}
+	{sp|P18843|NADE_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P18843|NADE_ECOLI NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) OX=83333 GN=nadE PE=1 SV=2}
+	{sp|P37636|MDTE_ECOLI}	47000	0	2	2	{47000,47000}	{sp|P37636|MDTE_ECOLI Multidrug resistance protein MdtE OS=Escherichia coli (strain K12) OX=83333 GN=mdtE PE=1 SV=1}
+	{sp|P76193|YNHG_ECOLI}	50000	0	6	6	{50000,50000,50000,50000,50000,50000}	{sp|P76193|YNHG_ECOLI Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) OX=83333 GN=ynhG PE=1 SV=1}
+	{sp|P77718|THII_ECOLI}	44000	0	1	1	{44000}	{sp|P77718|THII_ECOLI tRNA sulfurtransferase OS=Escherichia coli (strain K12) OX=83333 GN=thiI PE=1 SV=1}
+	{sp|P07004|PROA_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P07004|PROA_ECOLI Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=proA PE=1 SV=2}
+	{sp|P09372|GRPE_ECOLI}	53000	0	1	1	{53000}	{sp|P09372|GRPE_ECOLI Protein GrpE OS=Escherichia coli (strain K12) OX=83333 GN=grpE PE=1 SV=1}
+	{sp|P13857|RIML_ECOLI}	55000	0	1	1	{55000}	{sp|P13857|RIML_ECOLI Ribosomal-protein-serine acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=rimL PE=1 SV=1}
+	{sp|P61175|RL22_ECOLI}	57000	0	1	1	{57000}	{sp|P61175|RL22_ECOLI 50S ribosomal protein L22 OS=Escherichia coli (strain K12) OX=83333 GN=rplV PE=1 SV=1}
